PRUID,DGUID,PRNAME,PRENAME,PRFNAME,PREABBR,PRFABBR,LANDAREA,grid_id,latitude,longitude,geometry,elevation,slope,aspect
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,1,45.40198633470896,-64.93859362191421,"POLYGON ((-64.91088745076391 45.40421485060128, -64.96335717121363 45.372062027090315, -64.96189062735994 45.37595984484705, -64.9521308190826 45.40188490802593, -64.94217077618376 45.42767411082176, -64.94216061621067 45.42770040607588, -64.94139157431975 45.42969052190041, -64.91088745076391 45.40421485060128))",50.0,89.98968505859375,147.98501586914062
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,2,45.45209253538188,-64.88172598007685,"POLYGON ((-64.81446805557565 45.46311475779628, -64.91088745076391 45.40421485060128, -64.94139157431975 45.42969052190041, -64.9389234512076 45.43607633792466, -64.93374955553682 45.4494572681267, -64.8631972157278 45.497162483503054, -64.85895690800562 45.50008495692991, -64.85880806258709 45.50018753200225, -64.81446805557565 45.46311475779628))",111.0,89.98301696777344,146.92442321777344
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,3,45.51240361478396,-64.7887850045958,"POLYGON ((-64.7178239801873 45.521912770152085, -64.81446805557565 45.46311475779628, -64.85880806258709 45.50018753200225, -64.80607003726531 45.53648958689519, -64.80604527185199 45.53648920925107, -64.76920673688824 45.55996037285737, -64.76556443622937 45.56188408308321, -64.7178239801873 45.521912770152085))",43.0,89.98038482666016,194.60179138183594
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,4,45.569796196473845,-64.69286890276784,"POLYGON ((-64.62095479984436 45.58060863598057, -64.7178239801873 45.521912770152085, -64.76556443622937 45.56188408308321, -64.74299184866346 45.57379954176604, -64.70253020771024 45.595889282921384, -64.66408779799202 45.61677957709787, -64.62095479984436 45.58060863598057))",0.0,89.92219543457031,90.0
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,5,45.62645324103887,-64.59374634447862,"POLYGON ((-64.52386009118317 45.639202102382356, -64.62095479984436 45.58060863598057, -64.66408779799202 45.61677957709787, -64.66017060818068 45.6189063872901, -64.65988737188697 45.61906020534235, -64.61184306798059 45.64478423864628, -64.61164428985963 45.64489056047573, -64.61164381389275 45.64489299909771, -64.61144295010125 45.645000630760684, -64.5888276464599 45.657112313302726, -64.5886265617706 45.65721994833397, -64.58842542821371 45.657327595480716, -64.57112613305193 45.66658433075918, -64.5623954887616 45.67156908939517, -64.52386009118317 45.639202102382356))",0.0,0.0,-0.0
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,6,45.681765357340694,-64.49366390202069,"POLYGON ((-64.42653943226055 45.69769291524582, -64.52386009118317 45.639202102382356, -64.5623954887616 45.67156908939517, -64.5401330230097 45.68427165595803, -64.51175349402799 45.69048926641557, -64.5000000072989 45.69474186090279, -64.49999792285661 45.694742612931634, -64.4990062253614 45.69510132165464, -64.48575062950563 45.70295814771233, -64.48505218815946 45.70347521169829, -64.48487811116979 45.70360408460363, -64.48470403317337 45.70373295724884, -64.47629771318928 45.70995506020542, -64.47028748255991 45.72241741815176, -64.46956907931158 45.725151312330496, -64.46952320580995 45.72532585031524, -64.46947733194888 45.725500388411774, -64.46768886175957 45.73230506895043, -64.42653943226055 45.69769291524582))",0.0,89.81757354736328,180.0
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,7,45.75056687942886,-64.40164928525385,"POLYGON ((-64.32899240258345 45.75608081924675, -64.42653943226055 45.69769291524582, -64.46768886175957 45.73230506895043, -64.46739532372166 45.73342171870373, -64.46669002815948 45.73456847828194, -64.4593200483852 45.74654829819206, -64.4558156864721 45.750039460796586, -64.45580506454877 45.75005005061817, -64.45328353075666 45.75256171253506, -64.45313772710803 45.75270691693749, -64.4452290637075 45.760582394147036, -64.43606602757289 45.76710767404837, -64.42511235615275 45.77305622774789, -64.41240842749596 45.78412754757199, -64.40663932757235 45.79042011256051, -64.39659142778423 45.80196981669198, -64.3903132532623 45.80771283004064, -64.32899240258345 45.75608081924675))",0.0,0.0,-0.0
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,8,45.81033260946128,-64.31591439716505,"POLYGON ((-64.23121858313897 45.81436555784755, -64.32899240258345 45.75608081924675, -64.3903132532623 45.80771283004064, -64.3890811601128 45.808839688543266, -64.37518856074612 45.82085806988154, -64.3667253571361 45.826283416372966, -64.3610647463873 45.832802813911556, -64.36018670138462 45.84029661600844, -64.35800648529359 45.84532097976409, -64.35793272127795 45.84549087175039, -64.35785898965119 45.84566077443527, -64.35758726628242 45.84628691371972, -64.35204323062932 45.85303486687439, -64.34398559633614 45.85536730397885, -64.33461820592906 45.85722608109868, -64.33437373801958 45.857274573415715, -64.33412926957662 45.8573230650865, -64.3330768519692 45.85753182805386, -64.3308211552983 45.85700479971481, -64.33058231312754 45.85694899459475, -64.3303479785238 45.85688450044909, -64.32337106182699 45.85496425398591, -64.31472147486228 45.851565157007556, -64.31146270406188 45.84986721282785, -64.30027874764451 45.843591671800084, -64.29545208070236 45.84025733181844, -64.29058287184856 45.834289295173434, -64.28772634871159 45.83155135985157, -64.28666532674272 45.83084033342693, -64.28648198251709 45.83071746152305, -64.2862986393047 45.83059458931629, -64.28505118559531 45.82975859614523, -64.28301600035331 45.8297849278538, -64.28161558070974 45.83114470524461, -64.27931497099405 45.83310827968028, -64.27879776194796 45.83354073971195, -64.27798666347934 45.83421890239073, -64.27662006993917 45.834886414451425, -64.275602010891 45.83637501467008, -64.27488419051521 45.83851286931928, -64.27384073406053 45.84042747568056, -64.27408556594462 45.84120257339786, -64.27482129908842 45.841755562923105, -64.27495095430945 45.842002580452615, -64.2751774964605 45.84243417938065, -64.27454886226504 45.843150150637534, -64.27363478733845 45.84324769745037, -64.27291795341863 45.84287634236584, -64.27217803267251 45.84223154456352, -64.27127326572717 45.84202426839495, -64.27030680994936 45.842725160980144, -64.26964895862028 45.84361742707459, -64.26938275464931 45.84482356960229, -64.27004884472883 45.846043349116734, -64.27031833550457 45.84653685419983, -64.27056968165242 45.846704450116164, -64.270851534108 45.84689240530488, -64.27104273052387 45.847019920862635, -64.2718405151986 45.84716245497519, -64.27338189645651 45.847247158166375, -64.27386982352655 45.84757919221899, -64.27415662519199 45.84804067741173, -64.2741071323993 45.84862509630491, -64.273852062537 45.84953509173813, -64.27350469905316 45.850040331907245, -64.23121858313897 45.81436555784755))",21.0,89.9889907836914,205.123046875
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,9,45.86862613201204,-64.20705169703449,"POLYGON ((-64.13321755642443 45.87254687329722, -64.23121858313897 45.81436555784755, -64.27350469905316 45.850040331907245, -64.27312961999368 45.85058587095986, -64.27274734172657 45.851532864772516, -64.27287975754253 45.85279137644943, -64.27258192539126 45.853841063439475, -64.27236339248734 45.85399206690431, -64.27215227197236 45.85413792184322, -64.27165408204998 45.85416968385149, -64.27098602397093 45.853887773780556, -64.2699791671396 45.85284934817772, -64.26926998489746 45.85247062557941, -64.26818111199151 45.85243037984671, -64.26682017554133 45.85291685331274, -64.26434029172464 45.85517749277246, -64.26398757012171 45.855679463571136, -64.26387558011945 45.85583884788344, -64.26376358931397 45.855998232169824, -64.26354458073477 45.856309860973816, -64.26348974797077 45.8563878889879, -64.26346015550409 45.85642997268261, -64.26344133259548 45.85645678398674, -64.26340653317364 45.856506295896374, -64.26337775439814 45.85654727318456, -64.26228641071647 45.85810017354458, -64.26225839063666 45.85893069245373, -64.26316446306873 45.859472948439944, -64.2645835332907 45.859559306001636, -64.26532676913814 45.85946023360549, -64.26596557921154 45.85937507053074, -64.26627192391156 45.859454656134744, -64.26650031530306 45.8595139787065, -64.26677478058905 45.85958528169627, -64.26741374914043 45.86106198487352, -64.26739817078855 45.86109784370514, -64.26720916555531 45.86153234668925, -64.26710822661144 45.86176442961482, -64.26613828746352 45.862209560905235, -64.2643784943136 45.8626879406417, -64.26386442428834 45.8630635606006, -64.26331239841954 45.86356232446316, -64.26289818954781 45.86391357854612, -64.26289625240808 45.86403854316579, -64.26289612592282 45.86404742113607, -64.26306064018247 45.86430092998973, -64.26313950764833 45.86452530996433, -64.26316039536475 45.86479709656099, -64.26299961957994 45.865098584121455, -64.26252244361827 45.8655298309655, -64.26215753018619 45.865894033780265, -64.2618621901592 45.86624631825173, -64.2616322073769 45.866638106955754, -64.2612275128545 45.86708130833334, -64.26122709419015 45.86708139645334, -64.26082048292201 45.86720280420242, -64.26038711120124 45.86720625068073, -64.26035640041634 45.8672065119872, -64.25934778750324 45.867214404838236, -64.25913151008088 45.86734149074185, -64.25911660760308 45.86735019785657, -64.25903889429543 45.867453510383804, -64.2589943906418 45.86751280264642, -64.25899249791367 45.86751529334079, -64.25931231282924 45.86785601135575, -64.25992529153928 45.86850898752469, -64.26011190731265 45.868948412500735, -64.26011848515083 45.869321797893775, -64.26012889320562 45.86937258843868, -64.26015851268983 45.86951700309066, -64.2601147022821 45.869861911602094, -64.26013629986039 45.870027103931704, -64.26018489578156 45.870398997049485, -64.26038899159667 45.870845395492125, -64.26057050238032 45.8712422884635, -64.26060750272018 45.8713515142404, -64.26065981114252 45.87150559573058, -64.26061441023215 45.87156599797225, -64.26051799547713 45.87169429608731, -64.26033988916326 45.87179550199074, -64.26021759802418 45.871865009514934, -64.25973110456552 45.87197739864992, -64.2584550149212 45.87234550006866, -64.25843310304057 45.8723517984525, -64.25842998873078 45.87235269140546, -64.25837609094204 45.87234880072939, -64.25829378724883 45.87234289831179, -64.2582919016465 45.872344412797425, -64.25821809946719 45.87240339236326, -64.2580785964274 45.872514691667895, -64.25807668816185 45.87251720541377, -64.25802510210455 45.87258589504396, -64.25783640765717 45.8728370097775, -64.25779970935817 45.8735355084464, -64.25760079897552 45.873816004352285, -64.25732010759134 45.87421200847055, -64.25704512021225 45.874876697734535, -64.2570213014199 45.87493430344994, -64.25702110765626 45.87493471605618, -64.25701519013998 45.87494308983447, -64.25681970708 45.8752219030028, -64.25663638422662 45.87539269574783, -64.25658029634083 45.87544499799674, -64.25638070094082 45.87555580080263, -64.25611241774946 45.8757045919378, -64.25557280934363 45.87588780307216, -64.25467290002751 45.875938989083494, -64.25440200068525 45.876070293344405, -64.25431760785676 45.87623990289471, -64.25434560844838 45.87640670529494, -64.25435120445269 45.87643989108216, -64.25435168921662 45.87644290021194, -64.25460719046339 45.87705809440707, -64.2545839026627 45.87728009608944, -64.25489621229666 45.877521708485034, -64.25492890515093 45.877547002902865, -64.25492930448598 45.877547607570214, -64.25493168938421 45.87755058884282, -64.25513180023793 45.877811905073955, -64.25516219772413 45.878183496208614, -64.25517828526812 45.878380499027735, -64.25515131524041 45.87849200423689, -64.25507492174614 45.87880692717544, -64.25507406576112 45.8788105088215, -64.25506890497462 45.87883179490766, -64.25471251153515 45.87957350144698, -64.25449609170622 45.879785008114986, -64.25397129537463 45.88004388513894, -64.25379229410652 45.88008278624639, -64.25376530746507 45.88008870024371, -64.25374719717297 45.88009469220064, -64.25347841511301 45.88018410328098, -64.25281451939219 45.8805322978638, -64.25202629109906 45.88085510567544, -64.25123019901794 45.881455698432205, -64.25119701404739 45.88147649482091, -64.25044289571841 45.88194929733751, -64.25029648860946 45.882296705091015, -64.24944950659868 45.882888707611215, -64.24850330576375 45.88336409794041, -64.24813548514464 45.88370059835589, -64.24771221434474 45.88418729206572, -64.24736438282105 45.88442070286222, -64.24639479024208 45.88471709142978, -64.24639419112903 45.8851381053081, -64.2465687054834 45.885529506862795, -64.24668289198975 45.885785510439185, -64.24668331613323 45.88602589512868, -64.24668349816734 45.88616678594573, -64.24657061275933 45.886335992766234, -64.24597359916943 45.88672889854697, -64.24566379323025 45.887026506061865, -64.24535190466258 45.887192897069546, -64.24438878996698 45.88746149460854, -64.24422290851099 45.887542309769245, -64.24407161477431 45.88761599226363, -64.24387101588927 45.88788269337078, -64.24372279947038 45.88807980724364, -64.24372400261035 45.88808058845902, -64.24384709897826 45.88816109323778, -64.24400200162727 45.888262386730375, -64.24408860276823 45.888414604371825, -64.24421239001157 45.88886109731837, -64.24417069114895 45.88903940965795, -64.24414757757167 45.8891383058258, -64.244120993932 45.88917790903225, -64.24390410368807 45.889500303612, -64.2435893946661 45.88976598718416, -64.24310849640854 45.89004871018591, -64.24307460053728 45.890068690163666, -64.24307388976649 45.89006879554451, -64.242926008991 45.890094393100156, -64.24145750066171 45.8904490889081, -64.24129369216043 45.89048871049486, -64.24110839755588 45.89052221117318, -64.24057899659003 45.890617809936764, -64.2403997127619 45.89059589654216, -64.24021061458424 45.89057290110519, -64.24019910982403 45.89056640565659, -64.24010978291368 45.8905159075191, -64.23945529955363 45.889934900545505, -64.2392911979991 45.88990478563352, -64.23927380335391 45.88990860356745, -64.23884479133325 45.8900018084818, -64.23832339897041 45.89033208796755, -64.23819160604693 45.89045571420898, -64.23817731041449 45.890469093981245, -64.23813901447086 45.89061559801074, -64.2381006982286 45.8907620117224, -64.23816219432972 45.8911957947629, -64.23846149145818 45.89186720204602, -64.2384486929744 45.891980994651014, -64.2384463071595 45.89200200840668, -64.23857359093896 45.89249810350209, -64.23857421920977 45.8925002927138, -64.2385577870277 45.892588688681904, -64.23852720063576 45.89275391299604, -64.23834499473138 45.89295781216748, -64.23810119633782 45.893129201862834, -64.23805488687317 45.89315369058141, -64.23774308512893 45.8933187968251, -64.23716881106735 45.8935094037336, -64.23633269935739 45.89370428988833, -64.23622010438713 45.89366300275438, -64.23514048022756 45.893598762651564, -64.23420136943682 45.89233697792435, -64.23305043673092 45.89234813116678, -64.23177351755984 45.89293350998814, -64.23145590067324 45.89371690258317, -64.2284203735571 45.89494390791424, -64.22770576509517 45.89523273714024, -64.2270643020529 45.89566310722152, -64.22694349192778 45.89622674267608, -64.22783304452508 45.8967988856323, -64.22791524519397 45.89728655611795, -64.22727974915122 45.897860684198314, -64.2271610463704 45.898405541846444, -64.22710653298766 45.89865580621988, -64.22674354589364 45.89887527911987, -64.22634259026911 45.899117690896354, -64.2256539190866 45.899126084970696, -64.22454947150206 45.89913955462353, -64.22315615957511 45.89932620838475, -64.22228780587614 45.900398314147715, -64.2222798734861 45.90049803592492, -64.22227698395702 45.90053449766293, -64.22223388642388 45.90108069295973, -64.22216231863813 45.90119489513592, -64.22206800808686 45.90124779648039, -64.22191359231802 45.90133439179726, -64.22084148979255 45.901422486392164, -64.22055961479528 45.90152969834996, -64.22044052364296 45.901627993938526, -64.22033228878215 45.90171719290417, -64.22033191685591 45.90171919824847, -64.22031219631646 45.901820192025866, -64.22007968847691 45.90211470823275, -64.22000509588713 45.9022091056836, -64.2199915057872 45.902284310324035, -64.21980149612213 45.902576910172414, -64.21936018903165 45.90325648737344, -64.21930229638735 45.90348609233722, -64.21930298734293 45.90363429217689, -64.21930378341396 45.90382770223156, -64.21955139392834 45.9040808873611, -64.21970158974689 45.90423449523335, -64.22003859329683 45.9047794839118, -64.22014479582229 45.90503919816154, -64.22014461336475 45.9050398942896, -64.22012670327929 45.905116413292184, -64.22011230688697 45.90517770708215, -64.2199959956252 45.90565669551294, -64.22004689457378 45.90625721054566, -64.2200890223292 45.90637299356765, -64.22033279522095 45.9066445106136, -64.22051890873088 45.90685179932274, -64.22050970919187 45.906919197648634, -64.2204900941316 45.90706190825448, -64.22037890951009 45.907362192925476, -64.2203700092804 45.90737340680042, -64.22006908468049 45.90775220365109, -64.21982971923372 45.90805349435511, -64.21950878913988 45.90832709196251, -64.21891420514179 45.90862050629526, -64.21826098751231 45.90920570287925, -64.21780991529357 45.90960980325511, -64.21764218341524 45.91029070382098, -64.21710932075737 45.910807497709804, -64.21698290372998 45.910915010165155, -64.2168292205643 45.91104579953348, -64.2165922892601 45.911169496099305, -64.21501681283377 45.91120279379614, -64.21501508907971 45.91120279454321, -64.21496619412994 45.91124099241598, -64.21477050397844 45.91139388808429, -64.2146816003743 45.91181199384449, -64.21461218861339 45.91213850727376, -64.21451920708706 45.91230749241172, -64.21445599777452 45.91242220579141, -64.21411549857127 45.912778903304655, -64.21409371324974 45.91283050514122, -64.2140605116421 45.91290920689373, -64.21395890303373 45.91296970721834, -64.21385199043968 45.91303329996116, -64.21360669732546 45.91305368707392, -64.21351101946584 45.913031596909875, -64.21323929550485 45.91296900151039, -64.21298730985934 45.91297071212131, -64.21286360309222 45.9129715948524, -64.21262529802054 45.9130177998017, -64.21257751236185 45.913027095447816, -64.21247910492411 45.91305850318859, -64.21225580685733 45.91312979843753, -64.21165811167424 45.913522491728536, -64.21134369895697 45.91395859343515, -64.21133779355627 45.9139668062305, -64.21124820147087 45.91403881066177, -64.21119210439956 45.91408390626468, -64.21095360171131 45.91445789365592, -64.21052540789344 45.91489269878301, -64.21038859717083 45.91509330470932, -64.21026039416941 45.91558798823824, -64.21019910695756 45.91566930956357, -64.21016560518692 45.91571381361052, -64.20988598485 45.91593230189062, -64.20986591578033 45.91600709466117, -64.20985410059782 45.91605099178754, -64.21000480801273 45.91634710232381, -64.2099474917354 45.916472207462725, -64.20993808824234 45.91649260313413, -64.20993791385992 45.91649310612783, -64.20987510855099 45.916509003083505, -64.20976020597399 45.91653819741674, -64.20932041227766 45.91639690937411, -64.20903599701471 45.91639280211713, -64.20880538663772 45.916298204092314, -64.20864848860874 45.916093803145074, -64.208558699023 45.91597690309826, -64.2084241081393 45.915907390072604, -64.20832591154374 45.915919309518536, -64.20821850499402 45.91593229954521, -64.20821320902529 45.91593441534208, -64.20808090640018 45.91598650224113, -64.20781081342085 45.91609289727691, -64.20780970759479 45.91609329412493, -64.20779810095983 45.91609579789029, -64.20756918870643 45.91614549028417, -64.2069212044902 45.9161873046957, -64.20666258182176 45.91620400179768, -64.20657440204046 45.916201709858385, -64.20633838073606 45.91619540707239, -64.20627900894686 45.91615970645749, -64.20623719984977 45.916134596137766, -64.20600026311867 45.916393217800234, -64.20536898649695 45.91708232147303, -64.20521540120555 45.917249962682114, -64.20197682204144 45.920784836439275, -64.1968986880007 45.926326186003756, -64.13321755642443 45.87254687329722))",19.0,89.98202514648438,332.479248046875
12,2021A000212,Nova Scotia / Nouvelle-Écosse,Nova Scotia,Nouvelle-Écosse,N.S.,N.-É.,52824.7084,10,45.93211102432048,-64.12000039614274,"POLYGON ((-64.03498890647802 45.93062450663055, -64.13321755642443 45.87254687329722, -64.1968986880007 45.926326186003756, -64.19662758426942 45.92662197555855, -64.1931047812468 45.93046522632404, -64.19266273788008 45.93094724706138, -64.19238978622846 45.931230904821, -64.19115592982448 45.93253104281473, -64.19107707242381 45.93261938147327, -64.17886498327721 45.945477564904444, -64.1779675295768 45.94642256158023, -64.17795134549827 45.94643961617829, -64.17749010091507 45.94692523999294, -64.17745034928637 45.94696711303057, -64.17734944539119 45.947073330015904, -64.17714650015728 45.94728704645911, -64.17626918581107 45.94821074443358, -64.17593023059526 45.94856759699029, -64.17529927199767 45.94923186003688, -64.1748412028181 45.949714131441205, -64.17081758042869 45.953952578968924, -64.16694131080544 45.958241289648235, -64.16460980416224 45.96082053749356, -64.1644579042425 45.96122318505117, -64.16395122352394 45.96256664008167, -64.163623231038 45.9634364272055, -64.16301153071338 45.96506260898191, -64.16256319485466 45.96625445741017, -64.16173637159498 45.96845225666039, -64.16150834931938 45.969057974505624, -64.16145238542892 45.96920678926354, -64.16023163714092 45.972430155091594, -64.16002887836572 45.97296542993265, -64.1594126700051 45.97459867602397, -64.15934681658517 45.974773233916096, -64.15928302170663 45.974942301451016, -64.15920499422327 45.975149049239015, -64.15914514354331 45.97530769580969, -64.1589911289642 45.975384500425704, -64.15826414086574 45.97574709198157, -64.15603317805092 45.97685969997083, -64.1558038891444 45.9769740537129, -64.15278462767839 45.978539155494225, -64.14942368761508 45.98014747293462, -64.0913203378545 45.97827813364999, -64.03498890647802 45.93062450663055))",16.0,89.9485855102539,124.31009674072266
